Mã sinh viên,Ngày,Tên,Danh Mục,Số Tiền,Ghi Chú
B24DCCC058,2024-11-03,Phạm Tiến Đạt,Học tập,89680,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-17,Phạm Tiến Đạt,Ăn uống,253584,Thanh toán dịch vụ
B24DCCC058,2024-12-25,Phạm Tiến Đạt,Ăn uống,345400,Chi phí cần thiết trong tháng
B24DCCC058,2024-10-10,Phạm Tiến Đạt,Học tập,59868,Thanh toán dịch vụ
B24DCCC058,2024-04-12,Phạm Tiến Đạt,Ăn uống,401436,Khoản chi đột xuất
B24DCCC058,2024-10-18,Phạm Tiến Đạt,Ăn uống,207084,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-30,Phạm Tiến Đạt,Khác,378531,Thanh toán dịch vụ
B24DCCC058,2024-03-11,Phạm Tiến Đạt,Học tập,345666,Chi phí cần thiết trong tháng
B24DCCC058,2024-08-29,Phạm Tiến Đạt,Mua sắm,488114,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-07-23,Phạm Tiến Đạt,Y tế,40770,Khoản chi đột xuất
B24DCCC058,2024-11-04,Phạm Tiến Đạt,Ăn uống,439014,Chi phí cần thiết trong tháng
B24DCCC058,2024-02-08,Phạm Tiến Đạt,Học tập,476765,Khoản chi đột xuất
B24DCCC058,2024-07-20,Phạm Tiến Đạt,Di chuyển,352829,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-01,Phạm Tiến Đạt,Ăn uống,496161,Khoản chi đột xuất
B24DCCC058,2024-11-08,Phạm Tiến Đạt,Khác,269881,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-03,Phạm Tiến Đạt,Mua sắm,48998,Khoản chi đột xuất
B24DCCC058,2024-06-23,Phạm Tiến Đạt,Ăn uống,487788,Chi phí cần thiết trong tháng
B24DCCC058,2024-12-20,Phạm Tiến Đạt,Giải trí,202450,Chi phí cần thiết trong tháng
B24DCCC058,2024-12-01,Phạm Tiến Đạt,Giải trí,143102,Khoản chi đột xuất
B24DCCC058,2024-04-04,Phạm Tiến Đạt,Mua sắm,329671,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-15,Phạm Tiến Đạt,Giải trí,413895,Khoản chi đột xuất
B24DCCC058,2024-09-05,Phạm Tiến Đạt,Y tế,414290,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-05-15,Phạm Tiến Đạt,Khác,301691,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-09-28,Phạm Tiến Đạt,Di chuyển,489049,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-11,Phạm Tiến Đạt,Mua sắm,82937,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-11-05,Phạm Tiến Đạt,Mua sắm,223062,Khoản chi đột xuất
B24DCCC058,2024-07-17,Phạm Tiến Đạt,Mua sắm,156653,Khoản chi đột xuất
B24DCCC058,2024-02-15,Phạm Tiến Đạt,Ăn uống,137583,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-03-10,Phạm Tiến Đạt,Mua sắm,328612,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-15,Phạm Tiến Đạt,Di chuyển,347310,Thanh toán dịch vụ
B24DCCC058,2024-10-09,Phạm Tiến Đạt,Di chuyển,351106,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-26,Phạm Tiến Đạt,Giải trí,359432,Khoản chi đột xuất
B24DCCC058,2024-07-04,Phạm Tiến Đạt,Y tế,68748,Khoản chi đột xuất
B24DCCC058,2024-06-29,Phạm Tiến Đạt,Khác,216976,Khoản chi đột xuất
B24DCCC058,2024-02-07,Phạm Tiến Đạt,Di chuyển,207984,Khoản chi đột xuất
B24DCCC058,2024-10-25,Phạm Tiến Đạt,Khác,195583,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-25,Phạm Tiến Đạt,Y tế,344919,Chi phí cần thiết trong tháng
B24DCCC058,2024-06-16,Phạm Tiến Đạt,Di chuyển,75324,Thanh toán dịch vụ
B24DCCC058,2024-12-18,Phạm Tiến Đạt,Y tế,60108,Thanh toán dịch vụ
B24DCCC058,2024-01-17,Phạm Tiến Đạt,Y tế,145830,Thanh toán dịch vụ
B24DCCC058,2024-05-30,Phạm Tiến Đạt,Ăn uống,453824,Khoản chi đột xuất
B24DCCC058,2024-08-23,Phạm Tiến Đạt,Y tế,437855,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-22,Phạm Tiến Đạt,Y tế,407127,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-12,Phạm Tiến Đạt,Khác,292000,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-17,Phạm Tiến Đạt,Y tế,273320,Khoản chi đột xuất
B24DCCC058,2024-11-20,Phạm Tiến Đạt,Ăn uống,87636,Chi phí cần thiết trong tháng
B24DCCC058,2024-09-16,Phạm Tiến Đạt,Giải trí,423017,Thanh toán dịch vụ
B24DCCC058,2024-05-16,Phạm Tiến Đạt,Ăn uống,40601,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-31,Phạm Tiến Đạt,Ăn uống,157954,Chi phí cần thiết trong tháng
B24DCCC058,2024-04-19,Phạm Tiến Đạt,Y tế,386424,Chi phí cần thiết trong tháng
B24DCCC058,2024-01-03,Phạm Tiến Đạt,Di chuyển,268630,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-09-04,Phạm Tiến Đạt,Di chuyển,310037,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-11-12,Phạm Tiến Đạt,Di chuyển,170988,Thanh toán dịch vụ
B24DCCC058,2024-08-03,Phạm Tiến Đạt,Học tập,145768,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-07,Phạm Tiến Đạt,Giải trí,143597,Chi phí cần thiết trong tháng
B24DCCC058,2024-06-22,Phạm Tiến Đạt,Khác,230419,Khoản chi đột xuất
B24DCCC058,2024-03-02,Phạm Tiến Đạt,Học tập,296310,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-08-04,Phạm Tiến Đạt,Học tập,123408,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-23,Phạm Tiến Đạt,Khác,170943,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-09-25,Phạm Tiến Đạt,Khác,211364,Khoản chi đột xuất
B24DCCC058,2024-11-12,Phạm Tiến Đạt,Học tập,433362,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-11-24,Phạm Tiến Đạt,Học tập,216078,Thanh toán dịch vụ
B24DCCC058,2024-03-11,Phạm Tiến Đạt,Ăn uống,200993,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-05,Phạm Tiến Đạt,Học tập,450971,Khoản chi đột xuất
B24DCCC058,2024-03-08,Phạm Tiến Đạt,Khác,195457,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-24,Phạm Tiến Đạt,Khác,186487,Thanh toán dịch vụ
B24DCCC058,2024-11-09,Phạm Tiến Đạt,Di chuyển,53487,Thanh toán dịch vụ
B24DCCC058,2024-03-10,Phạm Tiến Đạt,Ăn uống,430023,Chi phí cần thiết trong tháng
B24DCCC058,2024-08-03,Phạm Tiến Đạt,Khác,452941,Khoản chi đột xuất
B24DCCC058,2024-12-20,Phạm Tiến Đạt,Di chuyển,488909,Khoản chi đột xuất
B24DCCC058,2024-01-22,Phạm Tiến Đạt,Khác,54379,Khoản chi đột xuất
B24DCCC058,2024-11-12,Phạm Tiến Đạt,Y tế,401070,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-03-08,Phạm Tiến Đạt,Giải trí,481460,Thanh toán dịch vụ
B24DCCC058,2024-10-16,Phạm Tiến Đạt,Ăn uống,200181,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-08,Phạm Tiến Đạt,Khác,285056,Chi phí cần thiết trong tháng
B24DCCC058,2024-04-19,Phạm Tiến Đạt,Khác,363596,Khoản chi đột xuất
B24DCCC058,2024-02-28,Phạm Tiến Đạt,Giải trí,284019,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-21,Phạm Tiến Đạt,Ăn uống,140801,Thanh toán dịch vụ
B24DCCC058,2024-01-29,Phạm Tiến Đạt,Ăn uống,303447,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-16,Phạm Tiến Đạt,Y tế,137466,Thanh toán dịch vụ
B24DCCC058,2024-09-04,Phạm Tiến Đạt,Ăn uống,352242,Khoản chi đột xuất
B24DCCC058,2024-08-31,Phạm Tiến Đạt,Học tập,470602,Khoản chi đột xuất
B24DCCC058,2024-10-23,Phạm Tiến Đạt,Mua sắm,120522,Chi phí cần thiết trong tháng
B24DCCC058,2024-04-15,Phạm Tiến Đạt,Khác,415841,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-07,Phạm Tiến Đạt,Di chuyển,185583,Chi phí cần thiết trong tháng
B24DCCC058,2024-02-15,Phạm Tiến Đạt,Ăn uống,74351,Thanh toán dịch vụ
B24DCCC058,2024-01-12,Phạm Tiến Đạt,Học tập,187727,Thanh toán dịch vụ
B24DCCC058,2024-05-16,Phạm Tiến Đạt,Học tập,395233,Khoản chi đột xuất
B24DCCC058,2024-07-08,Phạm Tiến Đạt,Giải trí,235964,Chi phí cần thiết trong tháng
B24DCCC058,2024-12-25,Phạm Tiến Đạt,Giải trí,494628,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-12,Phạm Tiến Đạt,Ăn uống,241027,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-14,Phạm Tiến Đạt,Giải trí,278985,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-09-12,Phạm Tiến Đạt,Mua sắm,487202,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-08-07,Phạm Tiến Đạt,Khác,327804,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-15,Phạm Tiến Đạt,Học tập,388362,Khoản chi đột xuất
B24DCCC058,2024-12-19,Phạm Tiến Đạt,Di chuyển,243796,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-28,Phạm Tiến Đạt,Di chuyển,52455,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-12-19,Phạm Tiến Đạt,Giải trí,265059,Khoản chi đột xuất
B24DCCC058,2024-11-14,Phạm Tiến Đạt,Giải trí,150226,Khoản chi đột xuất
B24DCCC058,2024-02-22,Phạm Tiến Đạt,Ăn uống,117560,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-31,Phạm Tiến Đạt,Ăn uống,427976,Chi phí cần thiết trong tháng
B24DCCC058,2024-04-18,Phạm Tiến Đạt,Di chuyển,258780,Khoản chi đột xuất
B24DCCC058,2024-03-30,Phạm Tiến Đạt,Mua sắm,388030,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-11,Phạm Tiến Đạt,Y tế,232613,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-21,Phạm Tiến Đạt,Học tập,379731,Khoản chi đột xuất
B24DCCC058,2024-03-16,Phạm Tiến Đạt,Mua sắm,139204,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-23,Phạm Tiến Đạt,Học tập,98444,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-08-17,Phạm Tiến Đạt,Học tập,96890,Chi phí cần thiết trong tháng
B24DCCC058,2024-12-13,Phạm Tiến Đạt,Khác,104964,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-30,Phạm Tiến Đạt,Ăn uống,472986,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-03-04,Phạm Tiến Đạt,Giải trí,315084,Khoản chi đột xuất
B24DCCC058,2024-09-05,Phạm Tiến Đạt,Di chuyển,310902,Thanh toán dịch vụ
B24DCCC058,2024-03-27,Phạm Tiến Đạt,Giải trí,130612,Chi phí cần thiết trong tháng
B24DCCC058,2024-08-02,Phạm Tiến Đạt,Học tập,224391,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-04,Phạm Tiến Đạt,Khác,237807,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-05-11,Phạm Tiến Đạt,Ăn uống,254660,Chi phí cần thiết trong tháng
B24DCCC058,2024-06-09,Phạm Tiến Đạt,Di chuyển,270726,Khoản chi đột xuất
B24DCCC058,2024-09-29,Phạm Tiến Đạt,Học tập,141314,Khoản chi đột xuất
B24DCCC058,2024-04-25,Phạm Tiến Đạt,Y tế,377541,Thanh toán dịch vụ
B24DCCC058,2024-07-16,Phạm Tiến Đạt,Giải trí,342528,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-08,Phạm Tiến Đạt,Ăn uống,393512,Khoản chi đột xuất
B24DCCC058,2024-09-13,Phạm Tiến Đạt,Di chuyển,70276,Khoản chi đột xuất
B24DCCC058,2024-02-19,Phạm Tiến Đạt,Mua sắm,30597,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-02,Phạm Tiến Đạt,Ăn uống,438598,Thanh toán dịch vụ
B24DCCC058,2024-07-17,Phạm Tiến Đạt,Ăn uống,294305,Khoản chi đột xuất
B24DCCC058,2024-07-05,Phạm Tiến Đạt,Mua sắm,64843,Khoản chi đột xuất
B24DCCC058,2024-06-27,Phạm Tiến Đạt,Mua sắm,423852,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-04,Phạm Tiến Đạt,Giải trí,204191,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-02-11,Phạm Tiến Đạt,Mua sắm,22246,Thanh toán dịch vụ
B24DCCC058,2024-10-04,Phạm Tiến Đạt,Di chuyển,430872,Khoản chi đột xuất
B24DCCC058,2024-08-21,Phạm Tiến Đạt,Di chuyển,164718,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-02-18,Phạm Tiến Đạt,Di chuyển,225804,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-30,Phạm Tiến Đạt,Ăn uống,293317,Thanh toán dịch vụ
B24DCCC058,2024-12-30,Phạm Tiến Đạt,Ăn uống,445072,Khoản chi đột xuất
B24DCCC058,2024-01-23,Phạm Tiến Đạt,Y tế,359515,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-10,Phạm Tiến Đạt,Khác,46225,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-10,Phạm Tiến Đạt,Học tập,288319,Thanh toán dịch vụ
B24DCCC058,2024-01-08,Phạm Tiến Đạt,Khác,468747,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-02-24,Phạm Tiến Đạt,Ăn uống,95847,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-08-15,Phạm Tiến Đạt,Khác,485150,Khoản chi đột xuất
B24DCCC058,2024-07-21,Phạm Tiến Đạt,Khác,80913,Khoản chi đột xuất
B24DCCC058,2024-08-27,Phạm Tiến Đạt,Khác,382463,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-09,Phạm Tiến Đạt,Mua sắm,139060,Chi phí cần thiết trong tháng
B24DCCC058,2024-04-14,Phạm Tiến Đạt,Khác,234447,Chi phí cần thiết trong tháng
B24DCCC058,2024-08-19,Phạm Tiến Đạt,Khác,74673,Khoản chi đột xuất
B24DCCC058,2024-04-27,Phạm Tiến Đạt,Khác,147853,Chi phí cần thiết trong tháng
B24DCCC058,2024-10-04,Phạm Tiến Đạt,Di chuyển,423495,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-04-06,Phạm Tiến Đạt,Học tập,411262,Chi phí cần thiết trong tháng
B24DCCC058,2024-08-15,Phạm Tiến Đạt,Học tập,443834,Thanh toán dịch vụ
B24DCCC058,2024-08-17,Phạm Tiến Đạt,Ăn uống,103032,Khoản chi đột xuất
B24DCCC058,2024-02-14,Phạm Tiến Đạt,Học tập,146965,Thanh toán dịch vụ
B24DCCC058,2024-09-14,Phạm Tiến Đạt,Mua sắm,198608,Khoản chi đột xuất
B24DCCC058,2024-01-02,Phạm Tiến Đạt,Khác,418342,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-12,Phạm Tiến Đạt,Ăn uống,397285,Khoản chi đột xuất
B24DCCC058,2024-04-12,Phạm Tiến Đạt,Học tập,92295,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-08-08,Phạm Tiến Đạt,Học tập,141155,Thanh toán dịch vụ
B24DCCC058,2024-12-07,Phạm Tiến Đạt,Khác,388103,Thanh toán dịch vụ
B24DCCC058,2024-02-16,Phạm Tiến Đạt,Y tế,457563,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-03-05,Phạm Tiến Đạt,Giải trí,362286,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-12,Phạm Tiến Đạt,Y tế,357075,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-06-30,Phạm Tiến Đạt,Học tập,373565,Thanh toán dịch vụ
B24DCCC058,2024-11-07,Phạm Tiến Đạt,Y tế,428363,Khoản chi đột xuất
B24DCCC058,2024-03-14,Phạm Tiến Đạt,Khác,48368,Khoản chi đột xuất
B24DCCC058,2024-12-07,Phạm Tiến Đạt,Mua sắm,44036,Khoản chi đột xuất
B24DCCC058,2024-04-23,Phạm Tiến Đạt,Di chuyển,262618,Thanh toán dịch vụ
B24DCCC058,2024-01-04,Phạm Tiến Đạt,Di chuyển,270306,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-07,Phạm Tiến Đạt,Mua sắm,183403,Khoản chi đột xuất
B24DCCC058,2024-06-19,Phạm Tiến Đạt,Mua sắm,25338,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-05-05,Phạm Tiến Đạt,Y tế,70553,Chi phí cần thiết trong tháng
B24DCCC058,2024-05-02,Phạm Tiến Đạt,Giải trí,66506,Chi phí cần thiết trong tháng
B24DCCC058,2024-11-05,Phạm Tiến Đạt,Di chuyển,22324,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-07-07,Phạm Tiến Đạt,Giải trí,389224,Khoản chi đột xuất
B24DCCC058,2024-01-19,Phạm Tiến Đạt,Y tế,309299,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-15,Phạm Tiến Đạt,Mua sắm,32620,Khoản chi đột xuất
B24DCCC058,2024-11-07,Phạm Tiến Đạt,Ăn uống,415235,Chi phí cần thiết trong tháng
B24DCCC058,2024-03-13,Phạm Tiến Đạt,Y tế,232720,Thanh toán dịch vụ
B24DCCC058,2024-10-16,Phạm Tiến Đạt,Y tế,138487,Thanh toán dịch vụ
B24DCCC058,2024-02-06,Phạm Tiến Đạt,Mua sắm,458151,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-02-16,Phạm Tiến Đạt,Ăn uống,144575,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-10-04,Phạm Tiến Đạt,Mua sắm,88074,Khoản chi đột xuất
B24DCCC058,2024-11-18,Phạm Tiến Đạt,Khác,211829,Thanh toán dịch vụ
B24DCCC058,2024-11-11,Phạm Tiến Đạt,Mua sắm,77260,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-01-15,Phạm Tiến Đạt,Giải trí,337609,Chi phí cần thiết trong tháng
B24DCCC058,2024-07-17,Phạm Tiến Đạt,Y tế,435439,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-05-15,Phạm Tiến Đạt,Học tập,328734,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-08-11,Phạm Tiến Đạt,Y tế,187913,Phí dịch vụ hoặc tiện ích
B24DCCC058,2024-11-04,Phạm Tiến Đạt,Mua sắm,356476,Chi phí cần thiết trong tháng
